School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Rockhurst,23.32,42.37,65.69,8,1,1
Blue Springs,32.66,30.41,63.07,3,2,2
Blue Springs South,35.98,22.59,58.58,1,7,3
Jefferson City,28.5,18.13,46.63,4,10,4
Francis Howell,23.41,22.61,46.02,7,6,5
Hazelwood Central,18.35,26.6,44.95,13,4,6
Ft. Zumwalt West,33.25,11.43,44.68,2,18,7
Raymore-Peculiar,26.99,17.54,44.53,5,13,8
Hickman,19.24,23.2,42.45,12,5,9
Rock Bridge,23.81,17.72,41.53,6,12,10
Lee's Summit North,12.41,28.33,40.75,20,3,11
De Smet Jesuit,17.37,20.54,37.91,16,9,12
Liberty,21.78,15.96,37.74,9,15,13
Christian Brothers College,20.47,17.25,37.72,10,14,14
McCluer North,18.15,15.39,33.53,14,16,15
SLUH,19.8,11.16,30.97,11,19,16
Pattonville,9.12,21.81,30.93,21,8,17
Eureka,12.59,17.79,30.38,19,11,18
Lindbergh,13.25,14.81,28.06,18,17,19
Marquette,17.84,7.36,25.2,15,24,20
Joplin,13.79,7.76,21.54,17,23,21
Lafayette (Wildwood),8.19,8.22,16.41,22,22,22
Ritenour,5.06,8.8,13.85,25,21,23
Parkway South,7.67,1.33,8.99,23,27,24
Hazelwood West,-2.93,10.69,7.77,28,20,25
Francis Howell Central,4.03,2.1,6.14,26,26,26
Francis Howell North,5.85,0.22,6.07,24,28,27
Mehlville,-3.53,4.17,0.64,29,25,28
Oakville,-2.49,-2.89,-5.38,27,31,29
Troy Buchanan,-7.09,0.12,-6.97,31,29,30
Fox,-5.27,-1.75,-7.02,30,30,31
Northwest (Cedar Hill),-10.05,-5.47,-15.51,32,32,32
